,Total Return,CAGR,Ann. Return,Ann. Volatility,Ann. Downside Volatility,Sharpe,Max Drawdown,Win Rate
Strategy,2.0473,0.1157,0.2011,0.1197,0.077,1.6797,0.2327,0.4896
Buy & Hold,0.8682,0.0633,0.0853,0.1655,0.1155,0.5152,0.2374,0.4883
