date,open,high,low,close,decision,cumret
2010-01-04C,1.686735397948,1.69271248431721,1.6586431062632,1.65983843803406,0,1.0
2010-01-05A,1.65983843803406,1.69271248431721,1.6586431062632,1.66163178985375,1,1.0118705009748978
2010-01-05C,1.66163178985375,1.68673561280414,1.64668914327982,1.68135619163513,1,1.0118703660569146
2010-01-06A,1.68135619163513,1.68673561280414,1.64668914327982,1.68135596745112,1,1.0100718497234114
2010-01-06C,1.68135596745112,1.70048270072068,1.66880412890202,1.6783674955368,1,1.0064747485278114
2010-01-07A,1.6783674955368,1.70048270072068,1.66880412890202,1.67239043783887,0,1.0064747485278114
2010-01-07C,1.67239043783887,1.68075833034822,1.62457360384622,1.63652777671814,0,1.0064747485278114
2010-01-08A,1.63652777671814,1.68075833034822,1.62457360384622,1.62636665161954,0,1.0064747485278114
2010-01-08C,1.62636665161954,1.64011396389163,1.61321700520558,1.63712549209595,0,1.0064747485278114
2010-01-11A,1.63712549209595,1.64011396389163,1.61321700520558,1.69450577285514,1,0.9731030635780428
2010-01-11C,1.69450577285514,1.70048285974773,1.62636686827568,1.63832104206085,0,0.9731030635780428
2010-01-12A,1.63832104206085,1.70048285974773,1.62636686827568,1.63473458136768,0,0.9731030635780428
2010-01-12C,1.63473458136768,1.66402234666696,1.61381485080031,1.6628270149231,1,0.9517661573260741
2010-01-13A,1.6628270149231,1.66402234666696,1.61381485080031,1.62636676167901,0,0.9517661573260741
2010-01-13C,1.62636676167901,1.63593012858133,1.59349271467196,1.59827446937561,0,0.9517661573260741
2010-01-14A,1.59827446937561,1.63593012858133,1.59349271467196,1.60604478976306,0,0.9517661573260741
2010-01-14C,1.60604478976306,1.62576919061689,1.59588375636942,1.6197921037674,0,0.9517661573260741
2010-01-15A,1.6197921037674,1.62576919061689,1.59588375636942,1.62218278232066,0,0.9517661573260741
2010-01-15C,1.62218278232066,1.63533242935651,1.60963094367621,1.62457358837128,0,0.9517661573260741
2010-01-18A,1.62457358837128,1.63533242935651,1.60963094367621,1.61979211253221,0,0.9517661573260741
2010-01-18C,1.61979211253221,1.63174628629588,1.61381502565038,1.62995314598084,1,0.9549073693333638
2010-01-19A,1.62995314598084,1.63174628629588,1.61381502565038,1.63533264845008,1,0.9535113239328121
2010-01-19C,1.63533264845008,1.64967762918061,1.6317463676412,1.63294184207916,1,0.9538603070928524
2010-01-20A,1.63294184207916,1.64967762918061,1.6317463676412,1.63353949539476,1,0.9248920116053237
2010-01-20C,1.63353949539476,1.64370052927123,1.57795257080258,1.5839296579361,0,0.9248920116053237
2010-01-21A,1.5839296579361,1.64370052927123,1.57795257080258,1.58572302194216,0,0.9248920116053237
2010-01-21C,1.58572302194216,1.59588405725152,1.57675731872506,1.58691835403442,0,0.9248920116053237
2010-01-22A,1.58691835403442,1.59588405725152,1.57675731872506,1.56898680549922,0,0.9248920116053237
2010-01-22C,1.56898680549922,1.59468829338609,1.54507845793051,1.58632040023804,0,0.9248920116053237
2010-01-25A,1.58632040023804,1.59468829338609,1.54507845793051,1.57078002487275,0,0.9248920116053237
2010-01-25C,1.57078002487275,1.58632048007554,1.55404409522936,1.55882585048676,0,0.9248920116053237
2010-01-26A,1.55882585048676,1.58632048007554,1.55404409522936,1.55882579576939,0,0.9248920116053237
2010-01-26C,1.55882579576939,1.56599821464622,1.51519304654159,1.51937699317932,0,0.9248920116053237
2010-01-27A,1.51937699317932,1.56599821464622,1.51519304654159,1.52117008954784,0,0.9248920116053237
2010-01-27C,1.52117008954784,1.5265493679237,1.49128451299087,1.49845707416534,0,0.9248920116053237
2010-01-28A,1.49845707416534,1.5265493679237,1.49128451299087,1.5008480677299,0,0.9248920116053237
2010-01-28C,1.5008480677299,1.50503201476893,1.48411227957377,1.4894917011261,0,0.9248920116053237
2010-01-29A,1.4894917011261,1.50503201476893,1.48411227957377,1.48829615116119,0,0.9248920116053237
2010-01-29C,1.48829615116119,1.50802055334811,1.48112358945504,1.48829615116119,0,0.9248920116053237
2010-02-01A,1.48829615116119,1.50802055334811,1.48112358945504,1.48590516914969,0,0.9248920116053237
2010-02-01C,1.48590516914969,1.49068678138534,1.45123798167375,1.46378982067108,0,0.9248920116053237
2010-02-02A,1.46378982067108,1.49068678138534,1.45123798167375,1.46438764936421,0,0.9248920116053237
2010-02-02C,1.46438764936421,1.49008913612308,1.46020370297381,1.46259450912476,0,0.9248920116053237
2010-02-03A,1.46259450912476,1.49008913612308,1.46020370297381,1.46737629916303,0,0.9248920116053237
2010-02-03C,1.46737629916303,1.50861824465597,1.44526109020436,1.5038366317749,1,0.917172329952619
2010-02-04A,1.5038366317749,1.50861824465597,1.44526109020436,1.4912847447337,0,0.917172329952619
2010-02-04C,1.4912847447337,1.50682520135668,1.48351465892722,1.4966641664505,1,0.8973929113982404
2010-02-05A,1.4966641664505,1.50682520135668,1.48351465892722,1.46438762907928,0,0.8973929113982404
2010-02-05C,1.46438762907928,1.47335318764737,1.4566174023176,1.46378982067108,0,0.8973929113982404
2010-02-08A,1.46378982067108,1.47335318764737,1.4566174023176,1.46020352051301,0,0.8973929113982404
2010-02-08C,1.46020352051301,1.4715598839372,1.45601957464542,1.46498513221741,0,0.8973929113982404
2010-02-09A,1.46498513221741,1.4715598839372,1.45601957464542,1.46379008705211,0,0.8973929113982404
2010-02-09C,1.46379008705211,1.47933054340352,1.45841080793433,1.47275578975678,0,0.8973929113982404
2010-02-10A,1.47275578975678,1.47933054340352,1.45841080793433,1.47992818812237,1,0.9028294111851631
2010-02-10C,1.47992818812237,1.491284553618,1.47634190743743,1.48889374732971,1,0.9028294569711828
2010-02-11A,1.48889374732971,1.491284553618,1.47634190743743,1.48889382283735,1,0.9035543639716184
2010-02-11C,1.48889382283735,1.49606638457097,1.48231906958486,1.49008929729462,1,0.9046416247784903
2010-02-12A,1.49008929729462,1.49606638457097,1.48231906958486,1.49188234457134,1,0.9129776659107394
2010-02-12C,1.49188234457134,1.50682499057667,1.49188234457134,1.50562965869904,1,0.9137025785109844
2010-02-22A,1.50562965869904,1.50682499057667,1.49188234457134,1.50682514239119,1,0.9100782161931781
2010-02-22C,1.50682514239119,1.51340003840055,1.50025038888683,1.50084805488586,1,0.9079035995238864
2010-02-23A,1.50084805488586,1.51340003840055,1.50025038888683,1.49726180357234,1,0.9021046029700156
2010-02-23C,1.49726180357234,1.49726180357234,1.47335331284746,1.48769843578339,1,0.8966680682850756
2010-02-24A,1.48769843578339,1.49726180357234,1.47335331284746,1.47873281902427,0,0.8966680682850756
2010-02-24C,1.47873281902427,1.50981373050029,1.47156025714365,1.50742292404175,1,0.8995121792574143
2010-02-25A,1.50742292404175,1.50981373050029,1.47156025714365,1.51220426758443,1,0.9084006735340548
2010-02-25C,1.51220426758443,1.52774472055416,1.50981346155177,1.52714705467224,1,0.9034230928156795
2010-02-26A,1.52714705467224,1.52774472055416,1.50981346155177,1.51877905368443,1,0.9016454447808747
2010-02-26C,1.51877905368443,1.53073336912437,1.51339977561719,1.51579058170319,1,0.9020009839215862
2010-03-01A,1.51579058170319,1.53073336912437,1.51339977561719,1.51638829212699,1,0.9140893469345196
2010-03-01C,1.51638829212699,1.54089444711676,1.51638829212699,1.53671050071716,1,0.9158670488312086
2010-03-02A,1.53671050071716,1.54089444711676,1.51638829212699,1.53969906324767,1,0.9087562865314556
2010-03-02C,1.53969906324767,1.54627381618975,1.522963276666,1.52774488925934,1,0.9076896103805615
2010-03-03A,1.52774488925934,1.54627381618975,1.522963276666,1.52595165925678,1,0.9140893469345196
2010-03-03C,1.52595165925678,1.53910130687336,1.52176771285718,1.53671050071716,1,0.9123117191310322
2010-03-04A,1.53671050071716,1.53910130687336,1.52176771285718,1.53372206274756,1,0.8934681894973128
2010-03-04C,1.53372206274756,1.5420899565103,1.50025034519161,1.50204348564148,0,0.8934681894973128
2010-03-05A,1.50204348564148,1.5420899565103,1.50025034519161,1.50323878280692,0,0.8934681894973128
2010-03-05C,1.50323878280692,1.51459514764332,1.50025016824129,1.50622725486755,0,0.8934681894973128
2010-03-08A,1.50622725486755,1.51459514764332,1.50025016824129,1.50622735054541,0,0.8934681894973128
2010-03-08C,1.50622735054541,1.52714722631868,1.50562968459632,1.52117013931274,1,0.8906597093403962
2010-03-09A,1.52117013931274,1.52714722631868,1.50562968459632,1.51638857439328,1,0.898032190672503
2010-03-09C,1.51638857439328,1.54089473394472,1.50861834606051,1.52894055843353,1,0.8980320780396345
2010-03-10A,1.52894055843353,1.54089473394472,1.50861834606051,1.52894036667096,1,0.8934681894973128
2010-03-10C,1.52894036667096,1.54029673222874,1.516388384205,1.52117013931274,1,0.8924148742057669
2010-03-11A,1.52117013931274,1.54029673222874,1.516388384205,1.51937682222813,1,0.8959255508529524
2010-03-11C,1.51937682222813,1.53252632660865,1.51041112150961,1.52535390853882,1,0.8952235348976537
2010-03-12A,1.52535390853882,1.53252632660865,1.51041112150961,1.52415869451657,1,0.882234037455304
2010-03-12C,1.52415869451657,1.52774497541632,1.50084801117323,1.50204348564148,0,0.882234037455304
2010-03-15A,1.50204348564148,1.52774497541632,1.50084801117323,1.50025048444908,0,0.882234037455304
2010-03-15C,1.50025048444908,1.5020436250654,1.47574446686778,1.48530769348145,0,0.882234037455304
2010-03-16A,1.48530769348145,1.5020436250654,1.47574446686778,1.48530753057967,0,0.882234037455304
2010-03-16C,1.48530753057967,1.48769847947587,1.47454883056675,1.48650300502777,0,0.882234037455304
2010-03-17A,1.48650300502777,1.48769847947587,1.47454883056675,1.4906869848476,0,0.882234037455304
2010-03-17C,1.4906869848476,1.51220452785492,1.48710070392888,1.51220452785492,1,0.8839775208734764
2010-03-18A,1.51220452785492,1.51220452785492,1.48710070392888,1.51519296789154,1,0.8808391173002015
2010-03-18C,1.51519296789154,1.51638829972313,1.5002501799567,1.5098135471344,1,0.8808390904712893
2010-03-19A,1.5098135471344,1.51638829972313,1.5002501799567,1.50981350114796,1,0.8853723122261499
2010-03-19C,1.50981350114796,1.5181813937342,1.4978593281662,1.51758372783661,1,0.8853723733032185
2010-03-22A,1.51758372783661,1.5181813937342,1.4978593281662,1.51758383252654,1,0.8871158754852836
2010-03-22C,1.51758383252654,1.52475639381239,1.50981360530187,1.52057230472565,1,0.885721022988368
2010-03-23A,1.52057230472565,1.52475639381239,1.50981360530187,1.51818143997551,1,0.8808391173002017
2010-03-23C,1.51818143997551,1.52654933281662,1.5092158812186,1.5098135471344,0,0.8808391173002017
2010-03-24A,1.5098135471344,1.52654933281662,1.5092158812186,1.5104113380416,0,0.8808391173002017
2010-03-24C,1.5104113380416,1.52117018044621,1.50742286571032,1.51160681247711,0,0.8808391173002017
2010-03-25A,1.51160681247711,1.52117018044621,1.50742286571032,1.50802057636725,0,0.8808391173002017
2010-03-25C,1.50802057636725,1.50861824235021,1.49188245478707,1.49546873569489,0,0.8808391173002017
2010-03-26A,1.49546873569489,1.50861824235021,1.49188245478707,1.49247996198637,0,0.8808391173002017
2010-03-26C,1.49247996198637,1.5301356225023,1.49188229606699,1.51997458934784,1,0.8832639131486605
2010-03-29A,1.51997458934784,1.5301356225023,1.49188229606699,1.52415881323348,1,0.901621938515943
2010-03-29C,1.52415881323348,1.55822834192974,1.52415881323348,1.55583739280701,1,0.9012755316665976
2010-03-30A,1.55583739280701,1.55822834192974,1.52415881323348,1.555239633695,1,0.9019683200209153
2010-03-30C,1.555239633695,1.55703277417722,1.54627393128391,1.55643510818481,1,0.9012755493415616
2010-03-31A,1.55643510818481,1.55703277417722,1.54627393128391,1.55523966419489,1,0.8943479959942991
2010-03-31C,1.55523966419489,1.55523966419489,1.53910154204344,1.54328548908234,1,0.8940015520749268
2010-04-01A,1.54328548908234,1.55523966419489,1.53910154204344,1.54268766600235,1,0.9047392338949968
2010-04-01C,1.54268766600235,1.56360739906677,1.54268766600235,1.5612165927887,1,0.9057783481587041
2010-04-02A,1.5612165927887,1.56360739906677,1.54268766600235,1.56300968672066,1,0.9092421243768266
2010-04-02C,1.56300968672066,1.57197538812852,1.56061888051356,1.56898677349091,1,0.908203047083807
2010-04-06A,1.56898677349091,1.57197538812852,1.56061888051356,1.56719374335551,1,0.9120131764166407
2010-04-06C,1.56719374335551,1.58691814533408,1.56719374335551,1.57376849651337,1,0.9109739893604466
