code,date,decision,ALDnBS
510880.SS,2010-05-13A,Empty,
510880.SS,2010-05-13C,Long,
510880.SS,2010-05-14A,Long,
510880.SS,2010-05-14C,Long,
510880.SS,2010-05-17A,Empty,
510880.SS,2010-05-17C,Empty,
510880.SS,2010-05-18A,Empty,
510880.SS,2010-05-18C,Empty,
510880.SS,2010-05-19A,Empty,
510880.SS,2010-05-19C,Empty,
510880.SS,2010-05-20A,Empty,
510880.SS,2010-05-20C,Empty,
510880.SS,2010-05-21A,Empty,
510880.SS,2010-05-21C,Long,
510880.SS,2010-05-24A,Long,
510880.SS,2010-05-24C,Long,
510880.SS,2010-05-25A,Long,
510880.SS,2010-05-25C,Long,
510880.SS,2010-05-26A,Long,
510880.SS,2010-05-26C,Long,
510880.SS,2010-05-27A,Long,
510880.SS,2010-05-27C,Long,
510880.SS,2010-05-28A,Long,
510880.SS,2010-05-28C,Long,
510880.SS,2010-05-31A,Long,
510880.SS,2010-05-31C,Empty,
510880.SS,2010-06-01A,Empty,
510880.SS,2010-06-01C,Empty,
510880.SS,2010-06-02A,Empty,
510880.SS,2010-06-02C,Empty,
510880.SS,2010-06-03A,Empty,
510880.SS,2010-06-03C,Empty,
510880.SS,2010-06-04A,Empty,
510880.SS,2010-06-04C,Empty,
510880.SS,2010-06-07A,Empty,
510880.SS,2010-06-07C,Empty,
510880.SS,2010-06-08A,Empty,
510880.SS,2010-06-08C,Empty,
510880.SS,2010-06-09A,Empty,
510880.SS,2010-06-09C,Long,
510880.SS,2010-06-10A,Long,
510880.SS,2010-06-10C,Long,
510880.SS,2010-06-11A,Long,
510880.SS,2010-06-11C,Long,
510880.SS,2010-06-17A,Long,
510880.SS,2010-06-17C,Empty,
510880.SS,2010-06-18A,Empty,
510880.SS,2010-06-18C,Empty,
510880.SS,2010-06-21A,Empty,
510880.SS,2010-06-21C,Long,
510880.SS,2010-06-22A,Long,
510880.SS,2010-06-22C,Long,
510880.SS,2010-06-23A,Long,
510880.SS,2010-06-23C,Long,
510880.SS,2010-06-24A,Long,
510880.SS,2010-06-24C,Long,
510880.SS,2010-06-25A,Long,
510880.SS,2010-06-25C,Empty,
510880.SS,2010-06-28A,Empty,
510880.SS,2010-06-28C,Empty,
510880.SS,2010-06-29A,Empty,
510880.SS,2010-06-29C,Empty,
510880.SS,2010-06-30A,Empty,
510880.SS,2010-06-30C,Empty,
510880.SS,2010-07-01A,Empty,
510880.SS,2010-07-01C,Empty,
510880.SS,2010-07-02A,Empty,
510880.SS,2010-07-02C,Empty,
510880.SS,2010-07-05A,Empty,
510880.SS,2010-07-05C,Empty,
510880.SS,2010-07-06A,Empty,
510880.SS,2010-07-06C,Empty,
510880.SS,2010-07-07A,Empty,
510880.SS,2010-07-07C,Empty,
510880.SS,2010-07-08A,Empty,
510880.SS,2010-07-08C,Empty,
510880.SS,2010-07-09A,Long,
510880.SS,2010-07-09C,Long,
510880.SS,2010-07-12A,Long,
510880.SS,2010-07-12C,Long,
510880.SS,2010-07-13A,Long,
510880.SS,2010-07-13C,Long,
510880.SS,2010-07-14A,Long,
510880.SS,2010-07-14C,Long,
510880.SS,2010-07-15A,Long,
510880.SS,2010-07-15C,Empty,
510880.SS,2010-07-16A,Empty,
510880.SS,2010-07-16C,Empty,
510880.SS,2010-07-19A,Empty,
510880.SS,2010-07-19C,Long,
510880.SS,2010-07-20A,Long,
510880.SS,2010-07-20C,Long,
510880.SS,2010-07-21A,Long,
510880.SS,2010-07-21C,Long,
510880.SS,2010-07-22A,Long,
510880.SS,2010-07-22C,Long,
510880.SS,2010-07-23A,Long,
510880.SS,2010-07-23C,Long,
510880.SS,2010-07-26A,Long,
510880.SS,2010-07-26C,Long,
510880.SS,2010-07-27A,Long,
